순번,호출부호,입항횟수,입항횟수,입항횟수,신고톤수,선박명,선사/대리점,선사/대리점,신청시설,신청시설,신청시설,신청일시(FROM ~ TO),신청일시(FROM ~ TO),지정시설,지정시설,지정시설,지정일시(FROM ~ TO),지정일시(FROM ~ TO),사용목적명,예보일시,허가유무
338,955269,2023,073,008,140,진양호,BSK3352,주식회사 로인스,MK3,02,감천 3부두 2선석,2023-09-27 16:00,2023-09-27 20:20,MK3,02,감천 3부두 2선석,2023-09-27 16:00,2023-09-27 20:20,양하,2023-10-04,허가완료
339,DSPF5,2023,108,001,465,TAELIM JASMINE,BSZ2465,태림해운(주),MK4,01,감천 4부두1선석(국제수산물부두),2023-10-03 01:00,2023-10-03 22:00,MK4,01,감천 4부두1선석(국제수산물부두),2023-10-03 01:00,2023-10-03 22:00,양적하,2023-10-04,허가완료
340,017035,2023,104,001,4.416,세주프런티어호,BSG4129,(주)세주,MK5,04,감천 5부두 4선석,2023-10-03 06:00,2023-10-04 19:00,MK5,04,감천 5부두 4선석,2023-10-03 06:00,2023-10-04 19:00,양적하,2023-10-04,허가완료
341,018817,2023,104,001,4.401,세주파이오니아호,BSG4129,(주)세주,MK5,04,감천 5부두 4선석,2023-10-05 06:00,2023-10-05 19:00,MK5,04,감천 5부두 4선석,2023-10-05 06:00,2023-10-05 19:00,양적하,2023-10-04,허가완료
342,V7A4533,2023,040,001,9.972,CONFIDENCE,ICC2115,오션네트워크익스프레스코리아(주),MS3,03,신항 3부두 3선석,2023-10-04 14:00,2023-10-05 05:00,MS3,03,신항 3부두 3선석,2023-10-04 14:00,2023-10-05 05:00,양적하,2023-10-04,허가완료
343,166803,2023,011,009,396,로원호,BSZ3632,로원,MK6,01,감천 6부두 1선석,2023-09-27 17:50,2023-09-27 20:55,MK6,01,감천 6부두 1선석,2023-09-27 17:50,2023-09-27 20:55,적하,2023-10-04,허가완료
344,955269,2023,073,007,140,진양호,BSK3352,주식회사 로인스,MK6,01,감천 6부두 1선석,2023-09-27 11:50,2023-09-27 15:45,MK6,01,감천 6부두 1선석,2023-09-27 11:50,2023-09-27 15:45,적하,2023-10-04,허가완료
345,5VHN6,2023,002,010,1.994,OCEAN PRIDE LP,BSC0335,덕운해운(주),MK6,03,감천 6부두 3선석,2023-09-28 07:00,2023-10-05 18:00,MK6,03,감천 6부두 3선석,2023-09-28 07:00,2023-10-05 18:00,출항대기,2023-10-04,허가완료
346,UBJM4,2023,003,008,710,DEMIS,BSC2094,(주)엔케이,MK7,02,감천 7부두 2선석,2023-08-07 17:00,2023-08-08 06:00,WAN,01,남외항 N-1박지,2023-08-07 17:00,2023-08-08 06:00,수리,2023-10-04,허가완료
347,D7RF,2023,033,002,4.723,HAE JIN,BSK3228,삼표해운 주식회사,MK2,01,감천 2부두 1선석,2023-09-30 18:00,2023-10-05 18:00,MK2,01,감천 2부두 1선석,2023-09-30 18:00,2023-10-05 18:00,양하,2023-10-04,허가완료
348,D7RF,2023,033,001,4.723,HAE JIN,BSK3228,삼표해운 주식회사,MK2,01,감천 2부두 1선석,2023-09-30 18:00,2023-10-05 18:00,MK2,01,감천 2부두 1선석,2023-09-30 18:00,2023-10-05 18:00,양하,2023-10-04,허가완료
349,V3NP2,2023,001,001,1.499,JING HAO,ICC2034,씨레인보우인터내셔널(주),MK2,03,감천 2부두 3선석,2023-10-03 11:00,2023-10-05 12:00,MK2,03,감천 2부두 3선석,2023-10-03 11:00,2023-10-05 12:00,양하,2023-10-04,허가완료
350,3FCH6,2023,004,001,7.167,DS PROSPERITY 7,ICC2034,씨레인보우인터내셔널(주),MKC,04,감천 중앙부두 4선석,2023-09-29 06:00,2023-10-04 18:00,WAN,03,남외항 N-3박지,2023-09-29 06:00,2023-10-04 18:00,양하,2023-10-04,허가완료
351,V3ZQ6,2023,007,001,2.991,XIANG HAN 8,BSC0362,엘에스해운(주),MKC,02,감천 중앙부두 2선석,2023-10-01 07:00,2023-10-03 19:00,MKC,02,감천 중앙부두 2선석,2023-10-01 07:00,2023-10-03 19:00,양하,2023-10-04,허가완료
352,920502,2023,011,001,43,일광103호,BSK3060,케이엔비,MK4,05,감천 4부두 5선석,2023-09-19 10:18,2023-09-19 11:33,MK4,05,감천 4부두 5선석,2023-09-19 10:18,2023-09-19 11:33,기타,2023-10-04,허가완료
353,DSQX4,2023,002,002,4.562,LEPUS,BSC2203,주식회사 스완쉬핑,MKC,04,감천 중앙부두 4선석,2023-10-02 14:00,2023-10-05 05:00,MBU,02,연합부두 연2선석,2023-10-02 14:00,2023-10-05 05:00,양하,2023-10-04,허가완료
354,975829,2023,001,002,148,제77영덕호,BSZ9343,(주)성원그린,MQF,02,감천 선기조합조선소 안벽-02,2023-09-11 09:10,2023-09-11 10:05,MQF,02,감천 선기조합조선소 안벽-02,2023-09-11 09:10,2023-09-11 10:05,기타,2023-10-04,허가완료
355,120039,2023,064,013,223,삼성호,BSK3377,보림해운 주식회사,MYF,05,선기조합-05(BCMS),2023-09-27 11:45,2023-09-27 14:05,MYF,05,선기조합-05(BCMS),2023-09-27 11:45,2023-09-27 14:05,양하,2023-10-04,허가완료
356,083802,2023,006,025,1.046,금오6001호,BSK3141,금오로지스 주식회사,MK4,05,감천 4부두 5선석,2023-10-03 18:00,2023-10-07 23:00,MK4,05,감천 4부두 5선석,2023-10-03 18:00,2023-10-07 23:00,접안대기,2023-10-04,허가완료
357,060333,2023,645,001,40,15영신,BSO2257,국제선박,MYF,06,"선기조합-06(삼우 2, 4)",2023-09-15 15:05,2023-09-15 15:50,MYF,06,"선기조합-06(삼우 2, 4)",2023-09-15 15:05,2023-09-15 15:50,기타,2023-10-04,허가완료
358,UHMM,2023,001,002,1.195,AVACHA,BSC2045,(유)해우로지스틱스,MYF,08,선기조합-08(오리엔트),2023-10-02 10:00,2023-10-30 10:00,MYF,08,선기조합-08(오리엔트),2023-10-02 10:00,2023-10-30 10:00,수리,2023-10-04,허가완료
359,920502,2023,009,001,1.038,일광103호,BSK3060,케이엔비,MK4,05,감천 4부두 5선석,2023-09-17 14:05,2023-09-17 14:42,MK4,05,감천 4부두 5선석,2023-09-17 14:05,2023-09-17 14:42,기타,2023-10-04,허가완료
360,D7JF,2023,006,001,27.061,SHANGHAI VOYAGER,OSL0038,장금상선(주),MYF,08,선기조합-08(오리엔트),2023-10-02 12:00,2023-10-12 12:00,MYF,08,선기조합-08(오리엔트),2023-10-02 12:00,2023-10-12 12:00,수리,2023-10-04,허가완료
361,UAJO,2023,001,002,4.407,GENERAL TROSHEV,BSC2289,(주)디에이치해운,MYF,08,선기조합-08(오리엔트),2023-10-04 10:00,2023-10-31 18:00,MYF,08,선기조합-08(오리엔트),2023-10-04 10:00,2023-10-31 18:00,수리,2023-10-04,허가완료
362,920502,2023,013,001,43,일광103호,BSK3060,케이엔비,MK4,05,감천 4부두 5선석,2023-10-02 08:25,2023-10-02 08:50,MK4,05,감천 4부두 5선석,2023-10-02 08:25,2023-10-02 08:50,기타,2023-10-04,허가완료
363,130047,2023,069,001,460,명진호,BSZ7248,(주)에우스마린,MW5,01,5물량장 1선석,2023-10-02 09:05,2023-10-04 07:10,MW5,01,5물량장 1선석,2023-10-02 09:05,2023-10-04 07:10,기타,2023-10-04,허가완료
364,UBHX,2023,001,001,1.416,ANTARES,BSC0076,(주)코르웰,MK3,02,감천 3부두 2선석,2023-10-02 09:00,2023-10-06 20:00,MK3,01,감천 3부두 1선석,2023-10-02 09:00,2023-10-06 20:00,양적하,2023-10-04,허가완료
365,DSFS8,2023,130,001,16.875,SEONG HEE,KMC8420,부관훼리(주),MBF,11,신국제여객터미널 11선석,2023-10-05 07:00,2023-10-05 21:00,MBF,11,신국제여객터미널 11선석,2023-10-05 07:00,2023-10-05 21:00,양적하,2023-10-04,허가완료
366,166803,2023,012,001,396,로원호,BSZ3632,로원,MW5,01,5물량장 1선석,2023-10-03 15:40,2023-10-04 07:30,MW5,01,5물량장 1선석,2023-10-03 15:40,2023-10-04 07:30,접안대기,2023-10-04,허가완료
367,020762,2023,007,001,138,모아호,BSK2330,(주)장원선박,*LP,01,대평동호안,2023-09-28 07:50,2023-10-01 17:30,*LP,01,대평동호안,2023-09-28 07:50,2023-10-01 17:30,출항대기,2023-10-04,허가완료
368,021734,2023,002,006,322,대명2000호,BSZ9932,명성티엔비,MKD,02,다대부두 2선석,2023-10-04 10:00,2023-10-04 23:00,MKD,02,다대부두 2선석,2023-10-04 10:00,2023-10-04 23:00,접안대기,2023-10-04,허가완료
369,961049,2023,116,001,104,제 96 동방호,BSK2607,용진해상급유,MW5,01,5물량장 1선석,2023-09-27 17:37,2023-10-01 18:30,MW5,01,5물량장 1선석,2023-09-27 17:37,2023-10-01 18:30,기타,2023-10-04,허가완료
370,935257,2023,021,013,41,해광호,BSZ3365,해광마린,MW5,01,5물량장 1선석,2023-09-26 13:00,2023-09-27 15:35,,,,,,접안대기,2023-10-04,미허가
371,886630,2023,010,001,35,은호,BSZ7273,수안선박,*S2,06,신항 2-6단계 축조공사,2023-09-25 06:15,2023-09-27 11:40,*S2,06,신항 2-6단계 축조공사,2023-09-25 06:15,2023-09-27 11:40,기타,2023-10-04,허가완료
372,935257,2023,021,015,41,해광호,BSZ3365,해광마린,MW5,01,5물량장 1선석,2023-09-27 18:40,2023-09-30 10:15,,,,,,접안대기,2023-10-04,미허가
373,935257,2023,021,017,41,해광호,BSZ3365,해광마린,MW5,01,5물량장 1선석,2023-09-30 13:55,2023-10-01 07:20,,,,,,접안대기,2023-10-04,미허가
374,9HA4811,2023,003,001,219.277,CMA CGM LOUIS BLERIOT,KMC0748,씨엠에이씨지엠코리아,MS5,02,신항 5부두 2선석,2023-10-05 02:00,2023-10-07 12:00,MS5,02,신항 5부두 2선석,2023-10-05 02:00,2023-10-07 12:00,양적하,2023-10-04,허가완료
375,935257,2023,021,018,41,해광호,BSZ3365,해광마린,MWB,01,봉래동물량장,2023-10-01 07:30,2023-10-01 07:35,,,,,,접안대기,2023-10-04,미허가
376,886630,2023,011,001,35,은호,BSZ7273,수안선박,*LP,01,대평동호안,2023-09-27 13:50,2023-10-03 03:55,*LP,01,대평동호안,2023-09-27 13:50,2023-10-03 03:55,기타,2023-10-04,허가완료
377,935257,2023,021,019,41,해광호,BSZ3365,해광마린,MBR,03,감만부두 3선석,2023-10-01 07:55,2023-10-01 09:25,,,,,,양하,2023-10-04,미허가
378,935257,2023,021,020,41,해광호,BSZ3365,해광마린,MW5,01,5물량장 1선석,2023-10-01 09:50,2023-10-02 00:55,,,,,,접안대기,2023-10-04,미허가
379,020136,2023,003,007,110,골드스타,BSK2330,(주)장원선박,MWB,01,봉래동물량장,2023-10-09 00:00,2023-10-23 00:00,,,,,,출항대기,2023-10-04,미허가
380,935257,2023,021,021,41,해광호,BSZ3365,해광마린,MB6,01,자성대부두 61선석,2023-10-02 01:10,2023-10-02 03:00,,,,,,양하,2023-10-04,미허가
381,935257,2023,021,022,41,해광호,BSZ3365,해광마린,MW5,01,5물량장 1선석,2023-10-02 03:10,2023-10-02 03:30,,,,,,접안대기,2023-10-04,미허가
382,935257,2023,021,023,41,해광호,BSZ3365,해광마린,MWB,01,봉래동물량장,2023-10-02 03:45,2023-10-02 07:00,,,,,,접안대기,2023-10-04,미허가
383,3EKJ3,2023,004,001,108.930,MSC SINDY,KMC0326,엠에스씨코리아(주),MSN,02,신항 1부두 2선석,2023-10-06 18:00,2023-10-07 18:00,MSN,02,신항 1부두 2선석,2023-10-06 18:00,2023-10-07 18:00,양적하,2023-10-04,허가완료
384,910392,2023,001,007,548,동해호,BSK3412,부산해상해운(주),MW5,01,5물량장 1선석,2023-10-01 00:00,2023-10-15 23:59,,,,,,기타,2023-10-04,미허가
385,090441,2023,125,002,149,9민성호,BSK2607,용진해상급유,MDY,01,영도(KOCO) 돌핀,2023-09-27 08:55,2023-09-27 09:40,,,,,,기타,2023-10-04,미허가
386,216804,2023,053,001,823,보광티아라,USZ1234,(주)비케이해운,MW5,01,5물량장 1선석,2023-10-01 13:40,2023-10-02 08:15,MW5,01,5물량장 1선석,2023-10-01 13:40,2023-10-02 08:15,기타,2023-10-04,허가완료
387,D5EV9,2023,004,001,96.628,TRANCURA,KMC0155,한국머스크 (주),MSN,07,신항 2부두 4선석,2023-10-06 13:00,2023-10-07 16:00,MSN,07,신항 2부두 4선석,2023-10-06 13:00,2023-10-07 16:00,양적하,2023-10-04,허가완료
388,090441,2023,126,001,149,9민성호,BSK2607,용진해상급유,MW5,01,5물량장 1선석,2023-09-27 17:40,2023-10-02 08:35,MW5,01,5물량장 1선석,2023-09-27 17:40,2023-10-02 08:35,기타,2023-10-04,허가완료
389,090441,2023,126,002,149,9민성호,BSK2607,용진해상급유,MDY,01,영도(KOCO) 돌핀,2023-10-02 08:50,2023-10-02 09:20,MDY,01,영도(KOCO) 돌핀,2023-10-02 08:50,2023-10-02 09:20,기타,2023-10-04,허가완료
390,011101,2023,061,001,125,제101영진호,BSU2626,(주)인창마린,MW5,01,5물량장 1선석,2023-09-27 07:35,2023-09-28 13:15,MW5,01,5물량장 1선석,2023-09-27 07:35,2023-09-28 13:15,접안대기,2023-10-04,허가완료
391,130017,2023,083,002,556,동방5호,BSK3453,서진유업 주식회사,MS6,02,신항 6부두 2선석,2023-10-01 17:30,2023-10-01 21:35,MS6,02,신항 6부두 2선석,2023-10-01 17:30,2023-10-01 21:35,양하,2023-10-04,허가완료
392,220023,2023,099,001,749,창용1호,BSB2532,창용해운,MW5,01,5물량장 1선석,2023-09-27 16:35,2023-09-29 22:15,MW5,01,5물량장 1선석,2023-09-27 16:35,2023-09-29 22:15,접안대기,2023-10-04,허가완료
393,220023,2023,099,002,749,창용1호,BSB2532,창용해운,WAN,05,남외항 N-5박지,2023-09-30 00:50,2023-09-30 03:50,WAN,05,남외항 N-5박지,2023-09-30 00:50,2023-09-30 03:50,양하,2023-10-04,허가완료
394,220023,2023,099,003,749,창용1호,BSB2532,창용해운,MW5,01,5물량장 1선석,2023-09-30 05:20,2023-09-30 07:30,MW5,01,5물량장 1선석,2023-09-30 05:20,2023-09-30 07:30,접안대기,2023-10-04,허가완료
395,120004,2023,040,005,299,뉴동신호,BSZ9968,(주)동신기업,MW5,01,5물량장 1선석,2023-09-27 21:20,2023-09-28 07:35,MW5,01,5물량장 1선석,2023-09-27 21:20,2023-09-28 07:35,접안대기,2023-10-04,허가완료
396,220023,2023,099,004,749,창용1호,BSB2532,창용해운,MBR,04,감만부두 4선석,2023-09-30 08:00,2023-09-30 10:25,MBR,04,감만부두 4선석,2023-09-30 08:00,2023-09-30 10:25,양하,2023-10-04,허가완료
397,120004,2023,040,006,299,뉴동신호,BSZ9968,(주)동신기업,WAN,04,남외항 N-4박지,2023-09-28 08:50,2023-09-28 12:20,WAN,04,남외항 N-4박지,2023-09-28 08:50,2023-09-28 12:20,접안대기,2023-10-04,허가완료
398,220023,2023,099,005,749,창용1호,BSB2532,창용해운,MW5,01,5물량장 1선석,2023-09-30 11:05,2023-10-01 10:10,MW5,01,5물량장 1선석,2023-09-30 11:05,2023-10-01 10:10,출항대기,2023-10-04,허가완료
399,120004,2023,040,007,299,뉴동신호,BSZ9968,(주)동신기업,MW5,01,5물량장 1선석,2023-09-28 13:15,2023-10-01 15:20,MW5,01,5물량장 1선석,2023-09-28 13:15,2023-10-01 15:20,접안대기,2023-10-04,허가완료
400,120004,2023,040,008,299,뉴동신호,BSZ9968,(주)동신기업,OLD,01,동명호안,2023-10-01 15:45,2023-10-01 18:00,OLD,01,동명호안,2023-10-01 15:45,2023-10-01 18:00,접안대기,2023-10-04,허가완료
401,120004,2023,040,009,299,뉴동신호,BSZ9968,(주)동신기업,MS4,02,신항 4부두 2선석,2023-10-01 20:45,2023-10-02 00:25,MS4,02,신항 4부두 2선석,2023-10-01 20:45,2023-10-02 00:25,접안대기,2023-10-04,허가완료
402,120004,2023,040,010,299,뉴동신호,BSZ9968,(주)동신기업,MW5,01,5물량장 1선석,2023-10-02 03:00,2023-10-02 07:20,MW5,01,5물량장 1선석,2023-10-02 03:00,2023-10-02 07:20,접안대기,2023-10-04,허가완료
403,120004,2023,040,012,299,뉴동신호,BSZ9968,(주)동신기업,MBE,Q1,감만부두 동측안벽 1 선석,2023-10-02 09:35,2023-10-02 15:05,MBE,Q1,감만부두 동측안벽 1 선석,2023-10-02 09:35,2023-10-02 15:05,접안대기,2023-10-04,허가완료
404,120004,2023,040,013,299,뉴동신호,BSZ9968,(주)동신기업,WAN,04,남외항 N-4박지,2023-10-02 16:20,2023-10-02 18:50,WAN,04,남외항 N-4박지,2023-10-02 16:20,2023-10-02 18:50,출항대기,2023-10-04,허가완료
405,120004,2023,040,011,299,뉴동신호,BSZ9968,(주)동신기업,OLD,01,동명호안,2023-10-02 07:50,2023-10-02 09:30,OLD,01,동명호안,2023-10-02 07:50,2023-10-02 09:30,적하,2023-10-04,허가완료
406,080122,2023,008,001,143,제이에스5호,BSZ2844,제이에스마린(JS마린),OLH,01,청학안벽,2023-09-26 07:10,2023-09-26 11:20,OLH,01,청학안벽,2023-09-26 07:10,2023-09-26 11:20,접안대기,2023-10-04,허가완료
407,120004,2023,041,001,299,뉴동신호,BSZ9968,(주)동신기업,MW5,01,5물량장 1선석,2023-10-03 04:30,2023-10-03 07:20,MW5,01,5물량장 1선석,2023-10-03 04:30,2023-10-03 07:20,접안대기,2023-10-04,허가완료
408,120004,2023,041,002,299,뉴동신호,BSZ9968,(주)동신기업,OLD,01,동명호안,2023-10-03 07:50,2023-10-03 10:05,OLD,01,동명호안,2023-10-03 07:50,2023-10-03 10:05,접안대기,2023-10-04,허가완료
409,120004,2023,041,003,299,뉴동신호,BSZ9968,(주)동신기업,MBE,Q1,감만부두 동측안벽 1 선석,2023-10-03 10:15,2023-10-03 11:55,MBE,Q1,감만부두 동측안벽 1 선석,2023-10-03 10:15,2023-10-03 11:55,접안대기,2023-10-04,허가완료
410,058282,2023,053,001,204,금성호,BSU2755,(주)부경페트롤,MW5,01,5물량장 1선석,2023-09-18 11:50,2023-09-27 08:25,MW5,01,5물량장 1선석,2023-09-18 11:50,2023-09-27 08:25,접안대기,2023-10-04,허가완료
411,120004,2023,041,005,299,뉴동신호,BSZ9968,(주)동신기업,MB6,01,자성대부두 61선석,2023-10-03 16:05,2023-10-03 18:10,MB6,01,자성대부두 61선석,2023-10-03 16:05,2023-10-03 18:10,접안대기,2023-10-04,허가완료
412,120004,2023,041,006,299,뉴동신호,BSZ9968,(주)동신기업,OLD,01,동명호안,2023-10-03 18:40,2023-10-03 20:10,OLD,01,동명호안,2023-10-03 18:40,2023-10-03 20:10,접안대기,2023-10-04,허가완료
413,120004,2023,041,007,299,뉴동신호,BSZ9968,(주)동신기업,MW5,01,5물량장 1선석,2023-10-03 20:45,2023-10-04 00:20,MW5,01,5물량장 1선석,2023-10-03 20:45,2023-10-04 00:20,접안대기,2023-10-04,허가완료
414,120004,2023,041,008,299,뉴동신호,BSZ9968,(주)동신기업,MBR,03,감만부두 3선석,2023-10-04 00:40,2023-10-04 03:10,MBR,03,감만부두 3선석,2023-10-04 00:40,2023-10-04 03:10,접안대기,2023-10-04,허가완료
415,120004,2023,041,009,299,뉴동신호,BSZ9968,(주)동신기업,MW5,01,5물량장 1선석,2023-10-04 03:30,2023-10-04 07:25,MW5,01,5물량장 1선석,2023-10-04 03:30,2023-10-04 07:25,접안대기,2023-10-04,허가완료
416,058282,2023,054,001,204,금성호,BSU2755,(주)부경페트롤,MW5,01,5물량장 1선석,2023-09-28 07:30,2023-09-30 03:25,MW5,01,5물량장 1선석,2023-09-28 07:30,2023-09-30 03:25,접안대기,2023-10-04,허가완료
417,DSFU2,2023,117,001,21.688,PANSTAR DREAM,KMC0725,(주)팬스타라인닷컴,MBF,12,신국제여객터미널 12선석,2023-10-05 10:00,2023-10-05 15:00,MBF,12,신국제여객터미널 12선석,2023-10-05 10:00,2023-10-05 15:00,양적하,2023-10-04,허가완료
418,058282,2023,055,001,204,금성호,BSU2755,(주)부경페트롤,MW5,01,5물량장 1선석,2023-09-30 21:40,2023-10-02 10:00,MW5,01,5물량장 1선석,2023-09-30 21:40,2023-10-02 10:00,접안대기,2023-10-04,허가완료
419,BTUV,2023,033,001,7.589,HENG YU,KMS8835,동영해운(주),MBS,01,신선대부두 1선석,2023-09-25 16:00,2023-09-26 06:00,MBS,01,신선대부두 1선석,2023-09-25 16:00,2023-09-26 06:00,양적하,2023-10-04,허가완료
420,170004,2023,040,001,4.996,대진8006,BSK2138,대진해운(주),MBD,01,동명부두 D1선석,2023-10-04 01:00,2023-10-07 09:00,MBD,01,동명부두 D1선석,2023-10-04 01:00,2023-10-07 09:00,양하,2023-10-04,허가완료
421,DSEK9,2023,075,001,4.914,HEUNG-A ULSAN,ICZ0830,흥아라인(주),MBS,01,신선대부두 1선석,2023-10-04 21:00,2023-10-05 08:00,MBS,01,신선대부두 1선석,2023-10-04 21:00,2023-10-05 08:00,양적하,2023-10-04,허가완료
422,200031,2023,093,001,299,3명광호,BSK3277,용성마린,MW5,01,5물량장 1선석,2023-09-27 09:55,2023-09-28 04:00,MW5,01,5물량장 1선석,2023-09-27 09:55,2023-09-28 04:00,출항대기,2023-10-04,허가완료
423,120050,2023,023,001,4.665,대진8001,BSK2138,대진해운(주),MK7,02,감천 7부두 2선석,2023-10-03 08:00,2023-10-05 09:00,MK7,02,감천 7부두 2선석,2023-10-03 08:00,2023-10-05 09:00,접안대기,2023-10-04,허가완료
424,120050,2023,023,002,4.665,대진8001,BSK2138,대진해운(주),MK5,06,쌍용안벽,2023-10-05 09:00,2023-10-05 23:00,MK5,06,쌍용안벽,2023-10-05 09:00,2023-10-05 23:00,양하,2023-10-04,허가완료
425,DSEK9,2023,075,002,4.914,HEUNG-A ULSAN,ICZ0830,흥아라인(주),MS6,01,신항 6부두 1선석,2023-10-05 11:00,2023-10-05 20:00,MS6,01,신항 6부두 1선석,2023-10-05 11:00,2023-10-05 20:00,양적하,2023-10-04,허가완료
426,BZSD9,2023,002,001,1.408,LU PENG YUAN YU 078,BSC0112,(주)피스코마린,WAN,03,남외항 N-3박지,2023-10-04 13:00,2023-10-06 18:00,WAN,03,남외항 N-3박지,2023-10-04 13:00,2023-10-06 18:00,화물대기,2023-10-04,허가완료
427,200031,2023,094,001,299,3명광호,BSK3277,용성마린,MW5,01,5물량장 1선석,2023-09-28 13:30,2023-10-01 00:20,MW5,01,5물량장 1선석,2023-09-28 13:30,2023-10-01 00:20,출항대기,2023-10-04,허가완료
428,BZU2N,2023,002,001,1.408,YONG FA 1,BSC0373,(주)밴오션 코리아,WAN,03,남외항 N-3박지,2023-10-04 15:00,2023-10-04 20:00,WAN,03,남외항 N-3박지,2023-10-04 15:00,2023-10-04 20:00,기타,2023-10-04,허가완료
429,ZGIA5,2023,003,001,31.758,ANNA-META,KMC0244,(주)글로발코리아,WAN,05,남외항 N-5박지,2023-10-04 16:00,2023-10-05 12:00,WAN,05,남외항 N-5박지,2023-10-04 16:00,2023-10-05 12:00,기타,2023-10-04,허가완료
430,BCCF,2023,002,001,1.670,LUJIAONANYUANYU177,BSC0112,(주)피스코마린,WAN,03,남외항 N-3박지,2023-10-04 12:00,2023-10-04 16:00,WAN,03,남외항 N-3박지,2023-10-04 12:00,2023-10-04 16:00,급유,2023-10-04,허가완료
431,BZSE2,2023,002,001,1.408,LU PENG YUAN YU 079,BSC0112,(주)피스코마린,WAN,03,남외항 N-3박지,2023-10-04 13:00,2023-10-04 16:00,WAN,03,남외항 N-3박지,2023-10-04 13:00,2023-10-04 16:00,급유,2023-10-04,허가완료
432,200031,2023,094,002,299,3명광호,BSK3277,용성마린,OLD,01,동명호안,2023-10-01 00:50,2023-10-01 04:55,OLD,01,동명호안,2023-10-01 00:50,2023-10-01 04:55,적하,2023-10-04,허가완료
433,161063,2023,015,001,1.975,우현,OST0212,우민해운(주),WAN,03,남외항 N-3박지,2023-10-04 12:00,2023-10-04 21:00,WAN,03,남외항 N-3박지,2023-10-04 12:00,2023-10-04 21:00,급유,2023-10-04,허가완료
434,BZZY9,2023,002,001,1.366,LU PENG YUAN YU 097,BSC0112,(주)피스코마린,WAN,03,남외항 N-3박지,2023-10-04 13:00,2023-10-04 16:00,WAN,03,남외항 N-3박지,2023-10-04 13:00,2023-10-04 16:00,급유,2023-10-04,허가완료
435,BZU6Z,2023,002,001,1.523,LU PENG YUAN YU 098,BSC0112,(주)피스코마린,WAN,03,남외항 N-3박지,2023-10-04 13:00,2023-10-04 16:00,WAN,03,남외항 N-3박지,2023-10-04 13:00,2023-10-04 16:00,급유,2023-10-04,허가완료
436,200031,2023,094,003,299,3명광호,BSK3277,용성마린,MW5,01,5물량장 1선석,2023-10-01 05:30,2023-10-01 08:50,MW5,01,5물량장 1선석,2023-10-01 05:30,2023-10-01 08:50,출항대기,2023-10-04,허가완료
437,BZ9UZ,2023,002,001,1.546,LU QING YUAN YU 018,BSC0112,(주)피스코마린,WAN,03,남외항 N-3박지,2023-10-04 13:00,2023-10-04 23:00,WAN,03,남외항 N-3박지,2023-10-04 13:00,2023-10-04 23:00,급유,2023-10-04,허가완료
438,200031,2023,094,004,299,3명광호,BSK3277,용성마린,MBF,01,신국제여객터미널 1선석,2023-10-01 09:10,2023-10-01 14:35,MBF,01,신국제여객터미널 1선석,2023-10-01 09:10,2023-10-01 14:35,양하,2023-10-04,허가완료
439,D7BT,2023,011,001,74.962,SM BUSAN,OSL2001,에스엠상선(주)부산영업소,MSN,04,신항 2부두 1선석,2023-10-04 20:00,2023-10-05 08:00,MSN,04,신항 2부두 1선석,2023-10-04 20:00,2023-10-05 08:00,양적하,2023-10-04,허가완료
440,200031,2023,094,005,299,3명광호,BSK3277,용성마린,MW5,01,5물량장 1선석,2023-10-01 15:05,2023-10-03 13:30,MW5,01,5물량장 1선석,2023-10-01 15:05,2023-10-03 13:30,출항대기,2023-10-04,허가완료
441,200035,2023,080,001,497,우원호,BSZ3327,우원마린 주식회사,MW5,01,5물량장 1선석,2023-09-27 12:25,2023-10-03 05:55,MW5,01,5물량장 1선석,2023-09-27 12:25,2023-10-03 05:55,출항대기,2023-10-04,허가완료
442,DSFN9,2023,015,001,1.716,우선호,ICK0006,우림해운(주),WAN,03,남외항 N-3박지,2023-10-04 15:00,2023-10-04 23:30,WAN,03,남외항 N-3박지,2023-10-04 15:00,2023-10-04 23:30,급유,2023-10-04,허가완료
443,935257,2023,021,016,41,해광호,BSZ3365,해광마린,MK1,03,감천 1부두 3선석,2023-09-30 11:30,2023-09-30 12:45,MK1,03,감천 1부두 3선석,2023-09-30 11:30,2023-09-30 12:45,양하,2023-10-04,허가완료
444,190008,2023,093,001,579,부광호,BSK3316,대건 이엔씨,MW5,01,5물량장 1선석,2023-09-27 19:55,2023-09-28 03:25,MW5,01,5물량장 1선석,2023-09-27 19:55,2023-09-28 03:25,기타,2023-10-04,허가완료
445,666149,2023,001,020,439,5덕승호,BSZ3308,(주)한마음급유,MW5,01,5물량장 1선석,2023-10-06 00:00,2023-10-20 00:00,MW5,01,5물량장 1선석,2023-10-06 00:00,2023-10-20 00:00,계선,2023-10-04,허가완료
446,935257,2023,021,014,41,해광호,BSZ3365,해광마린,MK6,01,감천 6부두 1선석,2023-09-27 16:25,2023-09-27 17:40,MK6,01,감천 6부두 1선석,2023-09-27 16:25,2023-09-27 17:40,적하,2023-10-04,허가완료
447,935257,2023,021,024,41,해광호,BSZ3365,해광마린,MK6,01,감천 6부두 1선석,2023-10-02 07:45,2023-10-02 09:40,MK6,01,감천 6부두 1선석,2023-10-02 07:45,2023-10-02 09:40,적하,2023-10-04,허가완료
